,Part of speech 1,Part of speech 2,Number of n-gramms,Frequency of n-gramms,Name of text
0,NOUN,NOUN,659,8.5,Bayer_De muro Caucaseo.txt
1,NOUN,VERB,555,7.1,Bayer_De muro Caucaseo.txt
2,ADP,NOUN,412,5.3,Bayer_De muro Caucaseo.txt
3,VERB,NOUN,290,3.7,Bayer_De muro Caucaseo.txt
4,ADJ,NOUN,266,3.4,Bayer_De muro Caucaseo.txt
5,VERB,VERB,251,3.2,Bayer_De muro Caucaseo.txt
6,NOUN,ADP,237,3.1,Bayer_De muro Caucaseo.txt
7,VERB,ADP,219,2.8,Bayer_De muro Caucaseo.txt
8,NOUN,CCONJ,213,2.7,Bayer_De muro Caucaseo.txt
9,NOUN,ADJ,207,2.7,Bayer_De muro Caucaseo.txt
10,CCONJ,NOUN,194,2.5,Bayer_De muro Caucaseo.txt
11,PRON,VERB,160,2.1,Bayer_De muro Caucaseo.txt
12,NOUN,PRON,160,2.1,Bayer_De muro Caucaseo.txt
13,PRON,NOUN,143,1.8,Bayer_De muro Caucaseo.txt
14,DET,NOUN,124,1.6,Bayer_De muro Caucaseo.txt
15,VERB,PRON,124,1.6,Bayer_De muro Caucaseo.txt
16,ADV,VERB,120,1.5,Bayer_De muro Caucaseo.txt
17,VERB,CCONJ,114,1.5,Bayer_De muro Caucaseo.txt
18,VERB,ADV,114,1.5,Bayer_De muro Caucaseo.txt
19,NOUN,ADV,104,1.3,Bayer_De muro Caucaseo.txt
20,ADP,PRON,97,1.2,Bayer_De muro Caucaseo.txt
21,ADP,ADJ,97,1.2,Bayer_De muro Caucaseo.txt
22,NUM,NOUN,91,1.2,Bayer_De muro Caucaseo.txt
23,ADV,NOUN,90,1.2,Bayer_De muro Caucaseo.txt
24,VERB,SCONJ,86,1.1,Bayer_De muro Caucaseo.txt
151,NOUN,NOUN,237,9.6,Bayer_De origine et priscis.txt
152,NOUN,VERB,167,6.7,Bayer_De origine et priscis.txt
153,ADP,NOUN,155,6.3,Bayer_De origine et priscis.txt
154,VERB,NOUN,92,3.7,Bayer_De origine et priscis.txt
155,NOUN,ADP,91,3.7,Bayer_De origine et priscis.txt
